model,case_id,specialty,difficulty,unanswerable,base_accuracy,base_confidence,n_variants,variant_accuracy
gemma2:9b,cardio_027,cardiology,hard,False,1.0,0.9,3,0.6666666666666666
gemma2:9b,cardio_028,cardiology,medium,True,0.0,0.85,2,0.0
gemma2:9b,cardio_029,cardiology,medium,False,1.0,0.9,3,0.6666666666666666
gemma2:9b,cardio_030,cardiology,hard,False,1.0,0.95,3,1.0
gemma2:9b,cardio_031,cardiology,hard,False,1.0,0.95,3,1.0
gemma2:9b,cardio_032,cardiology,medium,False,1.0,0.9,2,0.5
gemma2:9b,cardio_033,cardiology,hard,False,1.0,0.9,3,1.0
gemma2:9b,cardio_034,cardiology,hard,False,1.0,0.95,2,0.5
gemma2:9b,cardio_035,cardiology,medium,False,1.0,0.9,2,0.5
gemma2:9b,cardio_036,cardiology,medium,False,1.0,0.9,2,1.0
gemma2:9b,cardio_037,cardiology,hard,False,1.0,0.95,2,0.5
gemma2:9b,cardio_038,cardiology,medium,False,1.0,0.95,2,0.5
gemma2:9b,cardio_039,cardiology,hard,False,1.0,0.9,2,1.0
gemma2:9b,cardio_040,cardiology,easy,False,1.0,0.9,3,1.0
gemma2:9b,cardio_041,cardiology,hard,False,1.0,0.9,2,1.0
gemma2:9b,cardio_042,cardiology,medium,False,1.0,0.9,2,0.5
gemma2:9b,cardio_043,cardiology,hard,False,1.0,0.9,2,1.0
gemma2:9b,cardio_044,cardiology,medium,False,1.0,0.95,2,1.0
gemma2:9b,cardio_045,cardiology,medium,False,1.0,0.9,2,1.0
gemma2:9b,cardio_046,cardiology,medium,False,1.0,0.95,2,1.0
gemma2:9b,cardio_047,cardiology,medium,False,0.0,0.9,2,0.5
gemma2:9b,cardio_048,cardiology,medium,False,1.0,0.9,2,1.0
gemma2:9b,cardio_049,cardiology,medium,False,1.0,0.9,2,0.0
gemma2:9b,cardio_050,cardiology,hard,True,0.0,0.9,2,0.5
gemma2:9b,cardio_051,cardiology,easy,True,0.0,0.85,0,
gemma2:9b,cardio_052,cardiology,hard,True,0.0,0.85,0,
gemma2:9b,cardio_054,cardiology,hard,True,0.0,0.85,0,
gemma2:9b,cardio_055,cardiology,medium,True,0.0,0.85,0,
gemma2:9b,cardio_056,cardiology,medium,True,0.0,0.9,0,
gemma2:9b,cardio_057,cardiology,medium,True,0.0,0.85,0,
gemma2:9b,cardio_058,cardiology,medium,True,0.0,0.9,0,
llama3.1:8b,autoimmune_001,autoimmune,medium,False,1.0,0.95,4,1.0
llama3.1:8b,autoimmune_002,autoimmune,hard,False,1.0,0.9,5,0.6
llama3.1:8b,autoimmune_003,autoimmune,hard,False,1.0,0.9,4,0.75
llama3.1:8b,autoimmune_004,autoimmune,medium,False,1.0,0.9,4,1.0
llama3.1:8b,autoimmune_005,autoimmune,hard,False,1.0,0.9,4,0.75
llama3.1:8b,autoimmune_006,autoimmune,medium,False,1.0,0.9,4,0.75
llama3.1:8b,autoimmune_007,autoimmune,hard,False,1.0,0.9,4,1.0
llama3.1:8b,autoimmune_008,autoimmune,easy,False,1.0,0.9,4,1.0
llama3.1:8b,autoimmune_009,autoimmune,medium,False,1.0,0.9,4,0.75
llama3.1:8b,autoimmune_010,autoimmune,medium,False,1.0,0.8,4,0.75
llama3.1:8b,autoimmune_011,autoimmune,medium,False,1.0,0.9,3,1.0
llama3.1:8b,autoimmune_012,autoimmune,easy,False,1.0,0.95,4,1.0
llama3.1:8b,autoimmune_013,autoimmune,medium,False,1.0,0.9,3,0.3333333333333333
llama3.1:8b,autoimmune_014,autoimmune,medium,False,1.0,0.9,3,1.0
llama3.1:8b,autoimmune_015,autoimmune,hard,False,1.0,0.9,4,0.75
llama3.1:8b,autoimmune_016,autoimmune,medium,False,1.0,0.9,3,1.0
llama3.1:8b,autoimmune_017,autoimmune,hard,False,1.0,0.9,4,1.0
llama3.1:8b,autoimmune_018,autoimmune,hard,False,1.0,0.9,3,1.0
llama3.1:8b,autoimmune_019,autoimmune,medium,False,1.0,0.9,3,1.0
llama3.1:8b,autoimmune_020,autoimmune,medium,True,0.0,0.8,2,0.0
llama3.1:8b,autoimmune_021,autoimmune,medium,False,1.0,0.9,3,0.6666666666666666
llama3.1:8b,autoimmune_022,autoimmune,hard,False,1.0,0.9,3,0.6666666666666666
llama3.1:8b,autoimmune_023,autoimmune,medium,False,1.0,0.9,2,1.0
llama3.1:8b,autoimmune_024,autoimmune,medium,False,1.0,0.9,2,1.0
llama3.1:8b,autoimmune_025,autoimmune,medium,False,1.0,0.9,2,0.5
llama3.1:8b,autoimmune_026,autoimmune,hard,False,1.0,0.95,3,1.0
llama3.1:8b,autoimmune_027,autoimmune,hard,False,1.0,0.9,3,1.0
llama3.1:8b,autoimmune_028,autoimmune,hard,False,1.0,0.95,3,1.0
llama3.1:8b,autoimmune_029,autoimmune,medium,False,1.0,0.9,2,1.0
llama3.1:8b,autoimmune_030,autoimmune,hard,False,1.0,0.95,3,0.6666666666666666
llama3.1:8b,autoimmune_031,autoimmune,hard,False,1.0,0.9,2,0.5
llama3.1:8b,autoimmune_032,autoimmune,medium,False,1.0,0.9,2,0.5
llama3.1:8b,autoimmune_033,autoimmune,medium,False,1.0,0.9,2,1.0
llama3.1:8b,autoimmune_034,autoimmune,medium,False,1.0,0.95,2,0.5
llama3.1:8b,autoimmune_035,autoimmune,medium,False,1.0,0.95,2,1.0
llama3.1:8b,autoimmune_036,autoimmune,medium,False,1.0,0.9,2,1.0
llama3.1:8b,autoimmune_037,autoimmune,easy,False,1.0,0.9,4,1.0
llama3.1:8b,autoimmune_038,autoimmune,medium,False,1.0,0.9,2,0.5
llama3.1:8b,autoimmune_039,autoimmune,medium,False,1.0,0.9,2,1.0
llama3.1:8b,autoimmune_040,autoimmune,medium,False,1.0,0.9,2,1.0
llama3.1:8b,autoimmune_041,autoimmune,medium,False,1.0,0.9,2,0.5
llama3.1:8b,autoimmune_042,autoimmune,easy,False,1.0,0.9,4,1.0
llama3.1:8b,autoimmune_043,autoimmune,hard,False,1.0,0.9,2,1.0
llama3.1:8b,autoimmune_044,autoimmune,medium,False,1.0,0.9,2,1.0
llama3.1:8b,autoimmune_045,autoimmune,hard,False,1.0,0.9,2,0.5
llama3.1:8b,autoimmune_046,autoimmune,medium,False,1.0,0.95,2,1.0
llama3.1:8b,autoimmune_047,autoimmune,medium,False,1.0,0.9,2,1.0
llama3.1:8b,autoimmune_048,autoimmune,medium,False,1.0,0.95,2,1.0
llama3.1:8b,autoimmune_049,autoimmune,medium,False,1.0,0.9,2,1.0
llama3.1:8b,autoimmune_050,autoimmune,medium,False,1.0,0.8,2,1.0
llama3.1:8b,autoimmune_051,autoimmune,easy,True,0.0,0.8,0,
llama3.1:8b,autoimmune_052,autoimmune,hard,True,0.0,0.8,0,
llama3.1:8b,autoimmune_053,autoimmune,hard,True,0.0,0.8,0,
llama3.1:8b,autoimmune_055,autoimmune,medium,True,0.0,0.9,0,
llama3.1:8b,autoimmune_056,autoimmune,medium,True,0.0,0.8,0,
llama3.1:8b,cardio_001,cardiology,easy,False,1.0,0.8,4,1.0
llama3.1:8b,cardio_002,cardiology,easy,False,1.0,0.9,4,0.75
llama3.1:8b,cardio_003,cardiology,medium,False,1.0,0.8,4,1.0
llama3.1:8b,cardio_004,cardiology,medium,False,1.0,0.9,4,1.0
llama3.1:8b,cardio_005,cardiology,medium,False,1.0,0.9,4,1.0
llama3.1:8b,cardio_006,cardiology,easy,False,1.0,0.9,3,0.6666666666666666
llama3.1:8b,cardio_007,cardiology,hard,False,1.0,0.9,4,1.0
llama3.1:8b,cardio_008,cardiology,medium,False,1.0,0.9,4,0.75
llama3.1:8b,cardio_009,cardiology,hard,False,1.0,0.9,4,1.0
llama3.1:8b,cardio_010,cardiology,medium,True,0.0,0.8,2,0.0
llama3.1:8b,cardio_011,cardiology,medium,False,1.0,0.9,4,0.75
llama3.1:8b,cardio_012,cardiology,medium,False,1.0,0.9,3,0.6666666666666666
llama3.1:8b,cardio_013,cardiology,easy,False,1.0,0.9,4,1.0
llama3.1:8b,cardio_014,cardiology,hard,False,1.0,0.8,4,0.75
llama3.1:8b,cardio_015,cardiology,medium,False,1.0,0.9,3,1.0
llama3.1:8b,cardio_016,cardiology,easy,False,1.0,0.9,4,0.75
llama3.1:8b,cardio_017,cardiology,hard,False,1.0,0.9,4,0.75
llama3.1:8b,cardio_018,cardiology,medium,True,0.0,0.8,2,0.0
llama3.1:8b,cardio_019,cardiology,easy,False,1.0,0.9,3,0.6666666666666666
llama3.1:8b,cardio_020,cardiology,hard,False,1.0,0.9,4,0.75
llama3.1:8b,cardio_021,cardiology,medium,False,1.0,0.9,3,0.6666666666666666
llama3.1:8b,cardio_022,cardiology,hard,False,1.0,0.9,3,1.0
llama3.1:8b,cardio_023,cardiology,easy,False,1.0,0.9,3,1.0
llama3.1:8b,cardio_024,cardiology,medium,False,1.0,0.9,3,0.6666666666666666
llama3.1:8b,cardio_025,cardiology,medium,False,1.0,0.9,3,1.0
llama3.1:8b,cardio_026,cardiology,hard,False,1.0,0.9,3,1.0
llama3.1:8b,cardio_027,cardiology,hard,False,1.0,0.9,3,0.6666666666666666
llama3.1:8b,cardio_028,cardiology,medium,True,0.0,0.8,2,0.0
llama3.1:8b,cardio_029,cardiology,medium,False,1.0,0.9,3,0.6666666666666666
llama3.1:8b,cardio_030,cardiology,hard,False,1.0,0.9,3,1.0
llama3.1:8b,cardio_031,cardiology,hard,False,1.0,0.9,3,1.0
llama3.1:8b,cardio_032,cardiology,medium,False,1.0,0.9,2,1.0
llama3.1:8b,cardio_033,cardiology,hard,False,1.0,0.9,3,0.6666666666666666
llama3.1:8b,cardio_034,cardiology,hard,False,1.0,0.9,2,0.5
llama3.1:8b,cardio_035,cardiology,medium,False,1.0,0.8,2,0.5
llama3.1:8b,cardio_036,cardiology,medium,False,1.0,0.9,2,1.0
llama3.1:8b,cardio_037,cardiology,hard,False,1.0,0.9,2,0.5
llama3.1:8b,cardio_038,cardiology,medium,False,1.0,0.9,2,0.0
llama3.1:8b,cardio_039,cardiology,hard,False,1.0,0.9,2,1.0
llama3.1:8b,cardio_040,cardiology,easy,False,1.0,0.9,3,1.0
llama3.1:8b,cardio_041,cardiology,hard,False,0.0,0.8,2,0.5
llama3.1:8b,cardio_042,cardiology,medium,False,1.0,0.9,2,0.5
llama3.1:8b,cardio_043,cardiology,hard,False,1.0,0.9,2,1.0
llama3.1:8b,cardio_044,cardiology,medium,False,1.0,0.9,2,1.0
llama3.1:8b,cardio_045,cardiology,medium,False,1.0,0.9,2,0.5
llama3.1:8b,cardio_046,cardiology,medium,False,1.0,0.9,2,1.0
llama3.1:8b,cardio_047,cardiology,medium,False,0.0,0.8,2,0.5
llama3.1:8b,cardio_048,cardiology,medium,False,1.0,0.9,2,0.5
llama3.1:8b,cardio_049,cardiology,medium,False,1.0,0.9,2,0.0
llama3.1:8b,cardio_050,cardiology,hard,True,0.0,0.85,2,0.5
llama3.1:8b,cardio_051,cardiology,easy,True,0.0,0.9,0,
llama3.1:8b,cardio_052,cardiology,hard,True,0.0,0.8,0,
llama3.1:8b,cardio_054,cardiology,hard,True,0.0,0.8,0,
llama3.1:8b,cardio_055,cardiology,medium,True,0.0,0.8,0,
llama3.1:8b,cardio_056,cardiology,medium,True,0.0,0.9,0,
llama3.1:8b,cardio_057,cardiology,medium,True,0.0,0.8,0,
llama3.1:8b,cardio_058,cardiology,medium,True,0.0,0.8,0,
mistral:7b,autoimmune_001,autoimmune,medium,False,1.0,0.95,4,1.0
mistral:7b,autoimmune_002,autoimmune,hard,False,1.0,0.95,5,0.6
mistral:7b,autoimmune_003,autoimmune,hard,False,1.0,0.95,4,0.75
